,x,y,z,cluster
303,-3649.005,1402.1255,-1076.0237,0
304,-3165.695,1559.4557,-1051.5167,0
305,-2867.6458,1527.7059,-1050.1382,0
306,-2644.1833,1656.876,-1148.1688,0
307,-3245.8916,1536.1912,-1103.0366,0
308,-3330.5322,1425.803,-1118.5826,0
309,-3533.1882,1464.3932,-1018.1429,0
310,-2480.6394,1668.6659,-1109.2296,0
311,-3454.88,1381.3082,-1078.8546,0
312,-3044.862,1570.8978,-992.8569,0
313,-3047.2388,1496.2805,-1042.8154,0
314,-3272.1272,1406.6272,-1117.8988,0
315,-3241.3894,1429.0205,-1120.6427,0
316,-2440.0864,1580.0447,-1198.45,0
317,-3075.3372,1425.1019,-1143.1968,0
318,-2860.5452,1576.9679,-1048.2203,0
319,-2638.0269,1588.2734,-1126.8717,0
320,-3487.317,1373.4349,-1065.4266,0
321,-3128.2676,1517.0687,-961.6736,0
322,-3214.7998,1321.0177,-1157.5363,0
323,-3513.8147,1307.778,-1118.4434,0
324,-2628.695,1610.8357,-1110.0813,0
325,-3010.0435,1572.4365,-1064.3363,0
326,-3391.716,1366.7285,-1146.1803,0
327,-2996.3376,1573.3575,-1088.3635,0
328,-3002.6765,1512.1271,-1085.3977,0
329,-3278.3071,1430.7853,-1083.1548,0
330,-3263.3433,1475.5062,-1108.6473,0
331,-2809.1235,1629.7395,-1034.0356,0
332,-2790.013,1590.4482,-1184.9247,0
333,-3641.1775,1357.7614,-1048.6348,0
334,-3778.463,1336.391,-1074.8643,0
335,-2669.7983,1641.1476,-1080.7435,0
336,-2726.021,1595.308,-1069.195,0
337,-3154.3567,1489.3306,-1106.7213,0
338,-3013.4946,1501.0864,-1049.2186,0
339,-3238.816,1491.3439,-991.17676,0
340,-2969.2173,1545.4661,-1059.2722,0
341,-3401.8108,1431.5829,-1044.0092,0
342,-3068.7231,1519.8743,-1024.0735,0
343,-2868.747,1563.3182,-1021.0917,0
344,-2631.5637,1627.1436,-1045.1919,0
345,-3352.9001,1488.6442,-1094.8193,0
346,-3017.4707,1546.4249,-1087.4423,0
347,-3356.886,1433.2355,-1090.8035,0
348,-3028.9597,1424.2307,-1046.96,0
349,-3013.6138,1521.6106,-1180.0978,0
350,-3152.8752,1539.3998,-1100.3894,0
351,-2772.8743,1639.4886,-1018.995,0
352,-3112.9785,1517.1305,-1149.5153,0
353,-3300.755,1471.9952,-1131.4553,0
354,-3127.283,1512.9534,-1103.7328,0
355,-3284.4893,1444.968,-1118.4202,0
356,-3036.6438,1496.6134,-1159.764,0
357,-2940.3794,1631.978,-1029.9926,0
358,-2986.5754,1471.8395,-1173.9856,0
359,-3104.7214,1550.4164,-1139.0804,0
360,-3474.9119,1452.421,-1045.4249,0
361,-2672.735,1665.9637,-1054.7162,0
362,-2253.2356,1695.1133,-1098.0841,0
363,-2912.702,1523.2275,-1187.5359,0
364,-4065.3696,1252.2638,-1016.36896,0
365,-3316.4607,1335.6569,-1134.2607,0
366,-2771.8857,1569.3711,-1052.5602,0
367,-2844.519,1523.0269,-1013.2963,0
368,-3523.8403,1340.3712,-1081.0964,0
369,-2984.4417,1495.5681,-1136.751,0
370,-2491.669,1629.172,-1099.8793,0
371,-2901.2705,1588.9882,-1147.7957,0
372,-2860.832,1496.733,-1150.2046,0
373,-3885.7285,1194.6957,-1097.3523,0
374,-3269.6565,1384.1383,-1156.337,0
375,-2738.5637,1516.5614,-1093.894,0
376,-3090.091,1446.69,-1058.7275,0
377,-2438.2769,1681.7069,-1124.8611,0
378,-3159.3044,1403.4833,-1144.7799,0
379,-2937.4973,1516.126,-1052.3164,0
380,-2556.3044,1714.4495,-1051.8059,0
381,-3191.7341,1470.192,-1106.6442,0
382,-2929.923,1577.3413,-999.6848,0
383,-2695.985,1648.0851,-1068.0232,0
384,-2708.677,1628.0189,-1117.2504,0
385,-3335.8137,1380.2831,-1156.126,0
386,-3300.4604,1419.0386,-1021.9695,0
387,-3492.9038,1430.3235,-981.8972,0
388,-2128.5461,1747.9061,-1120.9664,0
389,-3107.5112,1428.1141,-1128.4972,0
390,-3222.4563,1542.7012,-1050.2864,0
391,-3351.291,1391.4736,-1112.1619,0
392,-2771.2976,1609.0873,-1088.3223,0
393,-3033.7322,1579.6002,-1118.2325,0
394,-2980.9534,1508.4158,-1166.491,0
395,-3358.4937,1392.0719,-1081.3889,0
396,-2841.4,1613.7444,-1078.0187,0
397,-2699.1257,1591.5507,-1097.5529,0
398,-2921.3833,1597.7407,-1064.688,0
399,-3197.5383,1441.8914,-1049.4166,0
400,-3137.6738,1384.4327,-1034.7592,0
401,-2921.7688,1554.0997,-1148.8608,0
402,-3035.7302,1410.1423,-1159.5042,0
403,-3309.5444,1447.8906,-1093.8892,0
404,-2943.308,1564.3385,-1041.2319,0
405,-3063.1829,1498.4205,-1150.7139,0
406,-3648.698,1320.8533,-1101.4032,0
407,-2768.9895,1544.1965,-1018.8832,0
408,-3305.8792,1379.7167,-1141.5708,0
409,-2305.6655,1760.9429,-1054.2605,0
410,-2753.4114,1564.8439,-1081.7993,0
411,-3569.735,1355.9305,-1130.2509,0
412,-3599.012,1336.6234,-1024.0055,0
413,-3065.5715,1498.959,-1113.3099,0
414,-2293.9805,1707.8811,-1110.5903,0
415,-3265.6685,1346.5592,-1038.2952,0
416,-3166.1484,1471.0905,-974.6747,0
417,-2789.5208,1521.8789,-1144.2789,0
418,-3031.1099,1444.7516,-1008.9519,0
419,-3481.7039,1340.3889,-1127.5253,0
420,-2834.1455,1538.2246,-1062.9076,0
421,-3091.2122,1455.1239,-1176.025,0
422,-2983.1704,1454.33,-1111.8906,0
423,-2643.65,1611.5549,-1139.3445,0
424,-2667.0542,1618.591,-1015.0095,0
425,-3099.4578,1491.5568,-981.4111,0
426,-2828.8206,1415.1748,-1098.0508,0
427,-3044.1138,1533.3085,-1141.6609,0
428,-2787.0156,1616.4985,-1111.9285,0
429,-3013.9236,1474.9923,-1135.4774,0
430,-2896.524,1602.7764,-1111.6332,0
431,-3123.9395,1480.8846,-1133.6206,0
432,-2804.7012,1549.1001,-1189.1277,0
433,-3695.9268,1315.5919,-1042.4639,0
434,-3063.3186,1462.9221,-1082.8676,0
